banlist_id,card_id,card_name,status
1,4206964,Trap Hole,Limited
1,12580477,Raigeki,Limited
1,53129443,Dark Hole,Limited
2,4031928,Change of Heart,Limited
2,7902349,Left Arm of the Forbidden One,Limited
2,8124921,Right Leg of the Forbidden One,Limited
2,12580477,Raigeki,Limited
2,18144507,Harpie's Feather Duster,Semi-Limited
2,33396948,Exodia the Forbidden One,Limited
2,44095762,Mirror Force,Limited
2,44519536,Left Leg of the Forbidden One,Limited
2,53129443,Dark Hole,Limited
2,55144522,Pot of Greed,Limited
2,70903634,Right Arm of the Forbidden One,Limited
2,79571449,Graceful Charity,Semi-Limited
2,83764719,Monster Reborn,Semi-Limited
2,85602018,Last Will,Limited
3,4031928,Change of Heart,Limited
3,7902349,Left Arm of the Forbidden One,Limited
3,8124921,Right Leg of the Forbidden One,Limited
3,8131171,Sinister Serpent,Limited
3,12580477,Raigeki,Limited
3,16762927,Gravekeeper's Servant,Semi-Limited
3,17375316,Confiscation,Limited
3,18144507,Harpie's Feather Duster,Limited
3,19613556,Heavy Storm,Semi-Limited
3,22046459,Megamorph,Limited
3,33396948,Exodia the Forbidden One,Limited
3,34124316,Cyber Jar,Limited
3,42829885,The Forceful Sentry,Limited
3,44095762,Mirror Force,Limited
3,44519536,Left Leg of the Forbidden One,Limited
3,44763025,Delinquent Duo,Semi-Limited
3,45986603,Snatch Steal,Limited
3,53129443,Dark Hole,Limited
3,55144522,Pot of Greed,Limited
3,61740673,Imperial Order,Semi-Limited
3,70903634,Right Arm of the Forbidden One,Limited
3,72302403,Swords of Revealing Light,Limited
3,77585513,Jinzo,Limited
3,79106360,Morphing Jar #2,Limited
3,79571449,Graceful Charity,Semi-Limited
3,83764719,Monster Reborn,Limited
3,85602018,Last Will,Limited
4,3078576,Yata-Garasu,Limited
4,4031928,Change of Heart,Limited
4,7902349,Left Arm of the Forbidden One,Limited
4,8124921,Right Leg of the Forbidden One,Limited
4,12580477,Raigeki,Limited
4,17375316,Confiscation,Limited
4,18144507,Harpie's Feather Duster,Limited
4,19613556,Heavy Storm,Semi-Limited
4,23171610,Limiter Removal,Limited
4,26202165,Sangan,Semi-Limited
4,28566710,Last Turn,Semi-Limited
4,33396948,Exodia the Forbidden One,Limited
4,34016756,Riryoku,Semi-Limited
4,34124316,Cyber Jar,Limited
4,36280194,Backup Soldier,Semi-Limited
4,36468556,Ceasefire,Limited
4,42829885,The Forceful Sentry,Limited
4,44095762,Mirror Force,Limited
4,44519536,Left Leg of the Forbidden One,Limited
4,44763025,Delinquent Duo,Semi-Limited
4,45986603,Snatch Steal,Limited
4,53129443,Dark Hole,Limited
4,55144522,Pot of Greed,Limited
4,56747793,United We Stand,Limited
4,61740673,Imperial Order,Limited
4,62279055,Magic Cylinder,Limited
4,70903634,Right Arm of the Forbidden One,Limited
4,71044499,Nobleman of Crossout,Semi-Limited
4,72302403,Swords of Revealing Light,Semi-Limited
4,74191942,Painful Choice,Limited
4,77585513,Jinzo,Limited
4,78010363,Witch of the Black Forest,Semi-Limited
4,78706415,Fiber Jar,Limited
4,79106360,Morphing Jar #2,Semi-Limited
4,79571449,Graceful Charity,Semi-Limited
4,83555666,Ring of Destruction,Limited
4,83746708,Mage Power,Limited
4,83764719,Monster Reborn,Limited
4,97077563,Call of the Haunted,Limited
5,2460565,Marauding Captain,Semi-Limited
5,3078576,Yata-Garasu,Limited
5,4031928,Change of Heart,Limited
5,7902349,Left Arm of the Forbidden One,Limited
5,8124921,Right Leg of the Forbidden One,Limited
5,12580477,Raigeki,Limited
5,17375316,Confiscation,Limited
5,17484499,Exchange of the Spirit,Limited
5,18144507,Harpie's Feather Duster,Limited
5,19613556,Heavy Storm,Limited
5,21593977,Makyura the Destructor,Limited
5,23171610,Limiter Removal,Limited
5,26202165,Sangan,Semi-Limited
5,28566710,Last Turn,Semi-Limited
5,32807846,Reinforcement of the Army,Semi-Limited
5,33396948,Exodia the Forbidden One,Limited
5,33508719,Morphing Jar,Limited
5,34016756,Riryoku,Semi-Limited
5,34124316,Cyber Jar,Limited
5,36280194,Backup Soldier,Semi-Limited
5,36468556,Ceasefire,Limited
5,37576645,Reckless Greed,Limited
5,40659562,Guardian Sphinx,Semi-Limited
5,42829885,The Forceful Sentry,Limited
5,43586926,Twin-Headed Behemoth,Limited
5,44095762,Mirror Force,Limited
5,44519536,Left Leg of the Forbidden One,Limited
5,44763025,Delinquent Duo,Limited
5,45986603,Snatch Steal,Limited
5,53129443,Dark Hole,Limited
5,55144522,Pot of Greed,Limited
5,56747793,United We Stand,Limited
5,61740673,Imperial Order,Limited
5,62279055,Magic Cylinder,Limited
5,70368879,Upstart Goblin,Limited
5,70828912,Premature Burial,Limited
5,70903634,Right Arm of the Forbidden One,Limited
5,71044499,Nobleman of Crossout,Semi-Limited
5,72302403,Swords of Revealing Light,Limited
5,72892473,Card Destruction,Limited
5,74131780,Exiled Force,Limited
5,74191942,Painful Choice,Limited
5,77585513,Jinzo,Limited
5,78010363,Witch of the Black Forest,Limited
5,78636495,Slate Warrior,Limited
5,78706415,Fiber Jar,Limited
5,79106360,Morphing Jar #2,Semi-Limited
5,79571449,Graceful Charity,Semi-Limited
5,79575620,Injection Fairy Lily,Limited
5,83555666,Ring of Destruction,Limited
5,83746708,Mage Power,Limited
5,83764719,Monster Reborn,Limited
5,97077563,Call of the Haunted,Limited
6,2460565,Marauding Captain,Semi-Limited
6,2851070,Reflect Bounder,Limited
6,3078576,Yata-Garasu,Limited
6,4031928,Change of Heart,Limited
6,7902349,Left Arm of the Forbidden One,Limited
6,8124921,Right Leg of the Forbidden One,Limited
6,8131171,Sinister Serpent,Limited
6,12580477,Raigeki,Limited
6,17375316,Confiscation,Limited
6,17484499,Exchange of the Spirit,Limited
6,18144507,Harpie's Feather Duster,Limited
6,19613556,Heavy Storm,Limited
6,21593977,Makyura the Destructor,Semi-Limited
6,26202165,Sangan,Limited
6,28566710,Last Turn,Semi-Limited
6,31036355,Creature Swap,Semi-Limited
6,32807846,Reinforcement of the Army,Semi-Limited
6,33184167,Tribe-Infecting Virus,Limited
6,33396948,Exodia the Forbidden One,Limited
6,33508719,Morphing Jar,Limited
6,34124316,Cyber Jar,Limited
6,36468556,Ceasefire,Limited
6,37576645,Reckless Greed,Limited
