id,effective_date,format,created_at
1,1999-08-01,TCG,2026-04-14 16:38:54.283148
2,2000-04-01,TCG,2026-04-14 16:38:54.878253
3,2000-11-01,TCG,2026-04-14 16:38:55.018265
4,2001-05-01,TCG,2026-04-14 16:38:55.187164
5,2003-01-01,TCG,2026-04-14 16:38:55.339825
6,2003-09-01,TCG,2026-04-14 16:38:55.517195
7,2004-03-01,TCG,2026-04-14 16:38:55.66092
8,2004-09-01,TCG,2026-04-14 16:38:55.811273
9,2005-03-01,TCG,2026-04-14 16:38:55.99752
10,2005-09-01,TCG,2026-04-14 16:38:56.231369
11,2006-03-01,TCG,2026-04-14 16:38:56.411509
12,2006-09-01,TCG,2026-04-14 16:38:56.705082
13,2007-03-01,TCG,2026-04-14 16:38:56.868286
14,2007-09-01,TCG,2026-04-14 16:38:57.061512
15,2008-03-01,TCG,2026-04-14 16:38:57.301664
16,2008-09-01,TCG,2026-04-14 16:38:57.55249
17,2009-03-01,TCG,2026-04-14 16:38:57.773934
18,2009-09-01,TCG,2026-04-14 16:38:58.029552
19,2010-03-01,TCG,2026-04-14 16:38:58.240224
20,2010-09-01,TCG,2026-04-14 16:38:58.462516
21,2011-03-01,TCG,2026-04-14 16:38:58.645695
22,2011-09-01,TCG,2026-04-14 16:38:58.83266
23,2012-03-01,TCG,2026-04-14 16:38:59.026099
24,2012-09-01,TCG,2026-04-14 16:38:59.263177
25,2013-03-01,TCG,2026-04-14 16:38:59.444043
26,2013-09-01,TCG,2026-04-14 16:38:59.635784
27,2014-01-01,TCG,2026-04-14 16:38:59.866429
28,2014-04-01,TCG,2026-04-14 16:39:00.234835
29,2014-07-01,TCG,2026-04-14 16:39:00.472819
30,2014-10-01,TCG,2026-04-14 16:39:00.696895
31,2015-01-01,TCG,2026-04-14 16:39:00.875189
32,2015-04-01,TCG,2026-04-14 16:39:01.107032
33,2015-07-01,TCG,2026-04-14 16:39:01.336388
34,2015-11-01,TCG,2026-04-14 16:39:01.626671
35,2016-04-01,TCG,2026-04-14 16:39:01.862884
36,2016-08-01,TCG,2026-04-14 16:39:02.063022
37,2017-03-01,TCG,2026-04-14 16:39:02.270534
38,2017-06-01,TCG,2026-04-14 16:39:02.480678
39,2017-09-01,TCG,2026-04-14 16:39:02.703039
40,2017-11-01,TCG,2026-04-14 16:39:02.929044
41,2018-02-01,TCG,2026-04-14 16:39:03.127618
42,2018-05-01,TCG,2026-04-14 16:39:03.323711
43,2018-09-01,TCG,2026-04-14 16:39:03.516633
44,2018-12-01,TCG,2026-04-14 16:39:03.721975
45,2019-01-01,TCG,2026-04-14 16:39:03.910528
46,2019-04-01,TCG,2026-04-14 16:39:04.126738
47,2019-07-01,TCG,2026-04-14 16:39:04.326434
48,2019-10-01,TCG,2026-04-14 16:39:04.563845
49,2020-01-01,TCG,2026-04-14 16:39:04.772801
50,2020-04-01,TCG,2026-04-14 16:39:04.990544
51,2020-06-01,TCG,2026-04-14 16:39:05.215809
52,2020-09-01,TCG,2026-04-14 16:39:05.452735
53,2020-12-01,TCG,2026-04-14 16:39:05.672683
54,2021-03-01,TCG,2026-04-14 16:39:05.920321
55,2021-07-01,TCG,2026-04-14 16:39:06.148766
56,2021-10-01,TCG,2026-04-14 16:39:06.352066
57,2022-02-07,TCG,2026-04-14 16:39:06.538132
58,2022-05-23,TCG,2026-04-14 16:39:06.729333
59,2022-10-03,TCG,2026-04-14 16:39:06.987217
60,2022-12-01,TCG,2026-04-14 16:39:07.220763
61,2023-02-13,TCG,2026-04-14 16:39:07.449193
62,2023-06-05,TCG,2026-04-14 16:39:07.644462
63,2023-09-25,TCG,2026-04-14 16:39:07.85653
64,2024-01-01,TCG,2026-04-14 16:39:07.98909
65,2024-04-22,TCG,2026-04-14 16:39:08.211148
66,2024-09-02,TCG,2026-04-14 16:39:08.374206
67,2024-12-06,TCG,2026-04-14 16:39:08.606467
68,2024-12-09,TCG,2026-04-14 16:39:08.895367
69,2025-04-07,TCG,2026-04-14 16:39:09.178482
70,2025-09-15,TCG,2026-04-14 16:39:09.414575
71,2025-10-27,TCG,2026-04-14 16:39:09.635124
72,2026-02-02,TCG,2026-04-14 16:39:09.928155
