id,name,archetype
483,Parallel Teleport,Teleport
2511,Labrynth Cooclock,Labrynth
10000,Ten Thousand Dragon,
27551,Limit Reverse,
32864,The 13th Grave,
35699,SPYRAL Sleeper,SPYRAL
39015,Assault Sentinel,
41546,D/D Savant Thomas,D/D
41777,Gem-Enhancement,Gem-
43227,Magnum the Reliever,
44818,Starry Knight Orbitael,Starry Knight
50755,Magician's Circle,
56889,Cross-Dimensional Duel,Ancient Gear
59080,Magia Magic - Thunder of Judgment,Magistus
62121,Castle of Dark Illusions,
64865,Cyberse Code Magician,Cyber
96540,Downbeat,
98905,Cipher Spectrum,Cipher
102380,Lava Golem,
109401,Dark Dimension Soldier,D.D.
111280,Dark Magic Expanded,Dark Magician
114932,Seismic Crasher,
122520,Performapal Sky Pupil,Performapal
123709,Laval Lancelord,Laval
126218,Skull Dice,
128454,Performapal Springoose,Performapal
131182,Miracle Flipper,
132308,Rikka Princess,Rikka
135598,Key Mouse,
146746,Double Headed Anger Knuckle,Train
164710,Mischief of the Gnomes,
168917,Vylon Hept,Vylon
176392,Koa'ki Meiru Prototype,Koa'ki Meiru
176393,Koa'ki Meiru Token,Koa'ki Meiru
191749,Hero Flash!!,Elemental HERO
197042,Exosister Returnia,Exosister
209710,Flick Clown,
212652,Trap of the Poisonous Scorpion,
213326,E - Emergency Call,Elemental HERO
218704,Fenrir,
220414,Performapal Turn Trooper,Performapal
242146,Ballista of Rampart Smashing,
255998,Rapid Warrior,
259314,Inzektor Gauntlet,Inzektor
263926,Bonze Alone,
269012,Mound of the Bound Creator,
269510,Fire Prison,
276357,Shinobird Salvation,Shinobird
282886,Mermail Abyssnose,Mermail
284224,Dual Avatar - Empowered Mitsu-Jaku,Dual Avatar
286392,Jet Warrior,
291414,Converging Wills Dragon,Majestic
293542,T.G. Warwolf,T.G.
295517,A Legendary Ocean,Umi
296499,The Regulation of Tribe,
298846,Trickstar Colchica,Trickstar
303660,Amplifier,
313513,Spell Gear,Ancient Gear
324483,Ultimate Flame Swordsman,Flame Swordsman
327051,Magistus Vritra,Magistus
336369,Gusto Squirro,Gusto
336601,Moon Gardna,
340002,Performapal Elephammer,Performapal
342673,Dark Magician the Magician of Black Magic,Dark Magician
359563,Evilswarm Nightmare,Lswarm
365213,Arrive in Light,Stardust
368382,Dinomist Brachion,Dinomist
373085,Firebrand Hymnist,
387282,Gagaga Sister,Gagaga
402416,Obliterate!!! Blaze,Exodd
402568,Wattgiraffe,Watt
403847,The A. Forces,
410904,Awakening of the Possessed - Rasenryu,Possessed
423585,Summoner Monk,
423705,Gearfried the Iron Knight,
425934,Goblin of Greed,Greed
440556,Bahamut Shark,
458748,The Book of the Law,Invoked
464362,Frightfur Tiger,Edge Imp
473469,Driving Snow,
487395,Water Spirit,
494922,Superheavy Samurai Warlord Susanowo,Superheavy
525110,Cherry Inmato,
545781,Mahaama the Fairy Dragon,
549481,Prevent Rat,
561300,Poisonous Viper,
564541,Totem Dragon,
572850,Tearlaments Scheiren,Tearlaments
575512,PSY-Frame Circuit,PSY-Frame
581014,Daigusto Emeral,Gusto
595626,Ankuriboh,Kuriboh
596051,Snake Fang,
598988,Malefic Rainbow Dragon,Malefic
601193,"Virgil, Rock Star of the Burning Abyss",Burning Abyss
612115,Gladiator Beast Retiari,Gladiator Beast
613013,Veiss Shark,Shark
613496,Over Tuning,
637216,Monster Express,
645087,Cyberse Gadget,Gadget
645794,Majespecter Toad - Ogama,Majespecter
652362,Alien Ammonite,Alien
653675,Synchro Overtop,Synchro
662853,Sanctity of Dragon,
662854,Noritoshi in Darkest Rainment,
662855,Amatsu-Okami of the Divine Peaks,
662857,Iron Knight of Revolution,
674561,Dark Eruption,
675319,Zodiac Sign,Zoodiac
691925,Solar Recharge,Lightsworn
698785,Thunder End Dragon,
703897,Orcust Crescendo,Orcust
706925,Atlantean Marksman,Atlantean
712559,Amazoness Village,Amazoness
720147,Generaider Boss Bite,Generaider
732302,Temple of Skulls,
734741,"Rubic, Malebranche of the Burning Abyss",Burning Abyss
739444,Vorticular Drumgon,
744887,"Utgarda, Generaider Boss of Delusion",Generaider
756652,Doron,Fan-Made Cards
759393,Hiita the Fire Charmer,Charmer
770365,Empress of Prophecy,Spellbook
786906,Fateful Hour,Shiranui
799183,Super Soldier Shield,Black Luster Soldier
811734,D/D/D Contract Change,D/D
816427,Neo Flamvell Lady,Flamvell
821049,Visas Amritara,Visas
844056,Red Arrows,Rose
847217,Orichalcos Sword of Sealing,
847915,Number Wall,
856784,Draw of Fate,
863795,Galaxy Summoner,Galaxy
875572,"Crowley, the Gifted Magistus",Magistus
876330,Dragunity Arma Mystletainn,Dragunity
879958,Parallel Port Armor,
885016,Multi-Universe,
897409,Galaxy Hundred,Galaxy
899287,Glife the Phantom Bird,Golden Castle of Stromberg
900787,Dragunity Knight - Gae Bulg,Dragunity
904185,Vertical Landing,Mecha Phantom Beast
904186,Mecha Phantom Beast Token,Phantom Beast
911883,Unexpected Dai,
917796,Gagagatag,Gagaga
923596,Geargiarmor,Geargia
938717,Boot-Up Corporal - Command Dynamo,Boot-Up
952523,Traptrix Cularia,Traptrix
967928,Penalty Game!,
975299,B.E.F. Zelos,B.E.S.
980973,Armed Dragon LV3,Armed Dragon
981540,Half Unbreak,
983995,Rebound,
984114,Expressroid,Roid
987311,D/D/D Gust King Alexander,D/D
1003028,Doggy Diver,
1003840,Starlight Junktion,Junk
1005587,Void Trap Hole,Hole
1006081,Junk Changer,Junk
1033312,Painful Decision,
1035143,Darkuriboh,Kuriboh
1036974,Misfortune,
1041278,Branded Expulsion,Branded
1045143,Geargiano Mk-II,Geargia
1047075,Fighting Flame Swordsman,Flame Swordsman
1050186,Satellarknight Unukalhai,Tellarknight
1050355,Dream Mirror of Terror,Dream Mirror
1050684,Scrapyard,Scrap
1061200,F.A. City Grand Prix,F.A.
1073952,Magic Planter,
1082946,Pyro Clock of Destiny,
1102515,Dark Mimic LV3,
1118137,Power of the Guardians,Guardian
1122030,Artmage Vandalism -Assault-,Artmage
