id,strategy_id,action,tournament_id,card_name,product_id,price,quantity,predicted_change_pct,reason,cash_before,cash_after,created_at
30841,7d,BUY,3605,Lacrima the Crimson Tears,584257,11.14,50,30.3978,,50000.00,49443.00,2026-04-15 16:02:07.569975
30845,7d,SELL,3605,Lacrima the Crimson Tears,584257,10.51,50,30.3978,expired at $10.51,49443.00,49883.87,2026-04-15 16:02:07.625054
30846,7d,SKIP,3701,,,,,,no weekend signals,49883.87,49883.87,2026-04-15 16:02:07.714
30850,7d,SKIP,3722,,,,,,no weekend signals,49883.87,49883.87,2026-04-15 16:09:09.865734
30854,7d,SKIP,3755,,,,,,no weekend signals,49883.87,49883.87,2026-04-15 16:11:08.036851
30859,7d,SKIP,3838,,,,,,no weekend signals,49883.87,49883.87,2026-04-15 16:16:12.728239
30863,7d,SKIP,3775,,,,,,no weekend signals,49883.87,49883.87,2026-04-15 16:23:20.046314
30867,7d,BUY,3904,Mulcharmy Purulia,558189,19.31,34,31.1656,,49883.87,49227.35,2026-04-15 16:27:03.209829
30868,7d,BUY,3904,Dominus Spiral,654314,9.84,50,30.0641,,49227.35,48735.35,2026-04-15 16:27:03.210869
30875,7d,SELL,3904,Mulcharmy Purulia,558189,19.93,34,31.1656,model sell p=0.58 on 2025-12-01,48735.35,49312.99,2026-04-15 16:30:27.931159
30876,7d,SELL,3904,Dominus Spiral,654314,9.88,50,30.0641,model sell p=0.54 on 2025-12-01,49312.99,49726.53,2026-04-15 16:30:27.93272
30878,7d,BUY,3517,Mitsurugi Ritual,610922,17.05,50,36.5597,,49726.53,48873.85,2026-04-15 16:32:24.804159
30882,7d,SELL,3517,Mitsurugi Ritual,610922,16.76,50,36.5597,expired at $16.76,48873.85,49585.81,2026-04-15 16:32:24.851626
30883,7d,SKIP,3976,,,,,,no weekend signals,49585.81,49585.81,2026-04-15 16:32:24.965628
30887,7d,BUY,4019,Dracotail Faimena,645207,8.18,50,42.1186,,49585.81,49176.86,2026-04-15 16:40:20.934063
30891,7d,SELL,4019,Dracotail Faimena,645207,8.19,50,42.1186,expired at $8.19,49176.86,49517.10,2026-04-15 16:40:21.019516
30892,7d,SKIP,4032,,,,,,no weekend signals,49517.10,49517.10,2026-04-15 16:40:21.24702
30899,7d,BUY,4060,Kashtira Fenrir,514784,9.27,50,34.7166,,49517.10,49053.60,2026-04-15 16:48:45.244632
30903,7d,SELL,4060,Kashtira Fenrir,514784,8.96,50,34.7166,model sell p=0.54 on 2026-01-05,49053.60,49427.24,2026-04-15 16:48:45.296202
30905,7d,BUY,4083,Enneacraft - Atori.MAR,665431,13.51,50,31.5030,,49427.24,48751.74,2026-04-15 16:50:39.324762
30906,7d,BUY,4083,Lunalight Gold Leo,639342,9.96,50,30.1291,,48751.74,48253.74,2026-04-15 16:50:39.325885
30913,7d,SELL,4083,Enneacraft - Atori.MAR,665431,15.88,50,31.5030,model sell p=0.75 on 2026-01-12,48253.74,48927.53,2026-04-15 16:54:26.787961
30914,7d,SELL,4083,Lunalight Gold Leo,639342,9.89,50,30.1291,model sell p=0.59 on 2026-01-12,48927.53,49341.51,2026-04-15 16:54:26.78923
30919,7d,SKIP,4191,,,,,,no weekend signals,49341.51,49341.51,2026-04-15 16:54:27.246566
30929,7d,BUY,4184,Elfnote Lucina,674742,19.85,35,31.4366,,49341.51,48646.76,2026-04-15 16:58:13.868159
30930,7d,BUY,4184,Kewl Tune Cue,665452,9.12,50,30.6286,,48646.76,48190.76,2026-04-15 16:58:13.869611
30937,7d,SELL,4184,Elfnote Lucina,674742,38.90,35,31.4366,model sell p=0.56 on 2026-02-03,48190.76,49361.36,2026-04-15 17:02:21.030456
30938,7d,SELL,4184,Kewl Tune Cue,665452,8.67,50,30.6286,expired at $8.67,49361.36,49722.42,2026-04-15 17:02:21.031742
30942,7d,BUY,4220,Sky Striker Ace = Zero,639386,20.31,47,32.7163,,49722.42,48767.85,2026-04-15 17:04:26.124124
30943,7d,BUY,4220,Mitsurugi Ritual,610922,12.38,50,31.1575,,48767.85,48148.87,2026-04-15 17:04:26.124902
30948,7d,SELL,4220,Sky Striker Ace = Zero,639386,20.41,47,32.7163,model sell p=0.55 on 2026-02-16,48148.87,48966.94,2026-04-15 17:04:26.174274
30949,7d,SELL,4220,Mitsurugi Ritual,610922,12.15,50,31.1575,expired at $12.15,48966.94,49478.95,2026-04-15 17:04:26.17537
30950,7d,BUY,4318,Secreterion Dragon,639374,25.21,22,35.0608,,49478.95,48924.33,2026-04-15 17:12:16.38836
30954,7d,SELL,4318,Secreterion Dragon,639374,24.57,22,35.0608,expired at $24.57,48924.33,49386.65,2026-04-15 17:12:16.451929
30960,7d,SKIP,4338,,,,,,no weekend signals,49386.65,49386.65,2026-04-15 17:12:16.840822
30967,7d,SKIP,4348,,,,,,no weekend signals,49386.65,49386.65,2026-04-15 17:19:09.572345
30972,7d,BUY,4368,Mementoal Tecuhtlica - Combined Creation,526924,12.22,50,34.8614,,49386.65,48775.65,2026-04-15 17:23:11.838307
30973,7d,BUY,4368,Apophis the Serpent,622008,10.87,50,34.5898,,48775.65,48232.15,2026-04-15 17:23:11.850704
30974,7d,BUY,4368,Mulcharmy Meowls,610840,14.65,45,30.5330,,48232.15,47572.90,2026-04-15 17:23:11.851923
30984,7d,SELL,4368,Mementoal Tecuhtlica - Combined Creation,526924,12.57,50,34.8614,expired at $12.57,47572.90,48103.12,2026-04-15 17:28:06.35566
30985,7d,SELL,4368,Apophis the Serpent,622008,11.25,50,34.5898,model sell p=0.51 on 2026-03-23,48103.12,48576.09,2026-04-15 17:28:06.357068
30986,7d,SELL,4368,Mulcharmy Meowls,610840,14.65,45,30.5330,model sell p=0.62 on 2026-03-23,48576.09,49134.49,2026-04-15 17:28:06.358311
30989,7d,BUY,4402,Lunalight Gold Leo,639342,8.44,50,31.5850,,49134.49,48712.49,2026-04-15 17:30:03.065011
30990,7d,BUY,4402,"Shiina, Twin Tempests of Celestial Thunder",675338,10.99,50,31.7679,,48712.49,48162.87,2026-04-15 17:30:03.066501
30997,7d,SELL,4402,Lunalight Gold Leo,639342,8.29,50,31.5850,model sell p=0.51 on 2026-03-24,48162.87,48507.45,2026-04-15 17:30:03.136967
30998,7d,SELL,4402,"Shiina, Twin Tempests of Celestial Thunder",675338,11.01,50,31.7679,expired at $11.01,48507.45,48970.01,2026-04-15 17:30:03.138147
31004,7d,BUY,4421,"Crowley, the Gifted Magistus",635930,8.02,50,42.1911,,48970.01,48569.21,2026-04-15 17:32:04.058692
31008,7d,SELL,4421,"Crowley, the Gifted Magistus",635930,8.51,50,42.1911,model sell p=0.62 on 2026-04-06,48569.21,48923.33,2026-04-15 17:36:03.364968
31011,7d,BUY,4464,Radiant Typhoon Swen,654231,11.23,50,31.3154,,48923.33,48361.68,2026-04-15 17:38:01.196798
31015,7d,SELL,4464,Radiant Typhoon Swen,654231,11.14,50,31.3154,model sell p=0.60 on 2026-04-13,48361.68,48829.88,2026-04-15 17:38:01.248614
38157,30d,BUY,2185,Bonfire,532225,24.97,49,17.3995,,50000.00,48776.47,2026-04-25 19:15:42.07592
38158,60d,BUY,2185,Bonfire,532225,24.97,49,17.3995,,50000.00,48776.47,2026-04-25 19:15:42.096378
38159,90d,BUY,2185,Bonfire,532225,24.97,49,17.3995,,50000.00,48776.47,2026-04-25 19:15:42.101519
38160,150d,BUY,2185,Bonfire,532225,24.97,49,17.3995,,50000.00,48776.47,2026-04-25 19:15:42.105946
38161,30d,SKIP,2206,,,,,,no weekend signals,48776.47,48776.47,2026-04-25 19:19:05.581564
38162,60d,SKIP,2206,,,,,,no weekend signals,48776.47,48776.47,2026-04-25 19:19:05.618313
