card_name,product_id,set_code,set_name,rarity,product_line
Pot of Duality,96946,PGL2-EN055,Premium Gold: Return of the Bling,Normal Spell,yugioh
"Loptr, Shadow of the Generaider Bosses",213335,ETCO-EN028,Eternity Code,Effect Monster,yugioh
Sleipnir the Runick Mane,579570,MP24-EN096,25th Anniversary Tin: Dueling Mirrors,Fusion/Effect Monster,yugioh
Nekroz of Brionac,96083,THSF-EN014,The Secret Forces,Ritual/Effect Monster,yugioh
Spellbound,514742,MP23-EN151,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Card of Demise,116962,MIL1-EN014,Millennium Pack,Normal Spell,yugioh
Geri the Runick Fangs,514776,MP23-EN251,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Fusion Monster,yugioh
"Vala, Seidhr of the Generaider Bosses",579646,MP24-EN172,25th Anniversary Tin: Dueling Mirrors,Effect Monster,yugioh
Ultimate Fusion,514649,MP23-EN027,25th Anniversary Tin: Dueling Heroes Mega Pack,Quick-Play Spell,yugioh
Archnemeses Protos,592332,RA03-EN023,Quarter Century Bonanza,Effect Monster,yugioh
Sleipnir the Runick Mane,504799,DUNE-EN035,Duelist Nexus,Effect Fusion Monster,yugioh
"Harr, Generaider Boss of Storms",213333,ETCO-EN027,Eternity Code,Effect Monster,yugioh
25th Anniversary Ultimate Kaiba Set Briefcase,530853,KC01,25th Anniversary Ultimate Kaiba Set,"",Yu-Gi-Oh
Barricadeborg Blocker,194689,RIRA-EN081,Rising Rampage,Link/Effect Monster,yugioh
Jester Confit,33132,ANPR-EN009,Ancient Prophecy,Effect Monster,yugioh
Double Cyclone,205563,SBTK-EN035,Speed Duel: Trials of the Kingdom,Quick-Play Spell,yugioh
Mimighoul Archfiend,559286,INFO-EN093,The Infinite Forbidden,Flip/Effect Monster,yugioh
Anti-Magic Arrows,99964,DPBC-EN004,Duelist Pack: Battle City,Quick-Play Spell,yugioh
One Day of Peace,129996,OP04-EN012,OTS Tournament Pack 4,Normal Spell,yugioh
Freki the Runick Fangs,514867,MP23-EN186,25th Anniversary Tin: Dueling Heroes Mega Pack,Effect Fusion Monster,yugioh
Abyss-scale of the Mizuchi,68106,LTGY-EN064,Lord of the Tachyon Galaxy,Normal Spell,yugioh
